State,Date,Count
ME,Aug 2017,5
ME,Sep 2017,5
ME,Oct 2017,4
ME,Nov 2017,3
ME,Dec 2017,3
ME,Jan 2018,3
ME,Feb 2018,4
ME,Mar 2018,6
ME,Apr 2018,7
ME,May 2018,7
ME,Jun 2018,7
ME,Jul 2018,7
ME,Aug 2018,7
ME,Sep 2018,6
ME,Oct 2018,5
ME,Nov 2018,3
ME,Dec 2018,4
ME,Jan 2019,5
ME,Feb 2019,5
ME,Mar 2019,7
ME,Apr 2019,8
ME,May 2019,9
ME,Jun 2019,9
ME,Jul 2019,10
ME,Aug 2019,9
ME,Sep 2019,8
ME,Oct 2019,6
ME,Nov 2019,4
ME,Dec 2019,5
ME,Jan 2020,6
ME,Feb 2020,7
ME,Mar 2020,9
ME,Apr 2020,10
ME,May 2020,12
ME,Jun 2020,12
ME,Jul 2020,12
ME,Aug 2020,12
ME,Sep 2020,10
ME,Oct 2020,8
ME,Nov 2020,9
ME,Dec 2020,8
ME,Jan 2021,12
ME,Feb 2021,13
ME,Mar 2021,21
ME,Apr 2021,22
ME,May 2021,25
ME,Jun 2021,33
ME,Jul 2021,32
ME,Aug 2021,35
ME,Sep 2021,33
ME,Oct 2021,24
ME,Nov 2021,26
ME,Dec 2021,17
ME,Jan 2022,22
ME,Feb 2022,33
ME,Mar 2022,55
ME,Apr 2022,68
ME,May 2022,82
ME,Jun 2022,84
ME,Jul 2022,98
ME,Aug 2022,91
ME,Sep 2022,79
ME,Oct 2022,65
ME,Nov 2022,48
ME,Dec 2022,42
ME,Jan 2023,50
ME,Feb 2023,63
ME,Mar 2023,90
ME,Apr 2023,107
ME,May 2023,127
ME,Jun 2023,122
ME,Jul 2023,133
ME,Aug 2023,129
MA,Jan 2014,39
MA,Feb 2014,45
MA,Mar 2014,64
MA,Apr 2014,74
MA,May 2014,89
MA,Jun 2014,92
MA,Jul 2014,97
MA,Aug 2014,110
MA,Sep 2014,102
MA,Oct 2014,88
MA,Nov 2014,68
MA,Dec 2014,62
MA,Jan 2015,64
MA,Feb 2015,75
MA,Mar 2015,106
MA,Apr 2015,120
MA,May 2015,130
MA,Jun 2015,130
MA,Jul 2015,144
MA,Aug 2015,143
MA,Sep 2015,127
MA,Oct 2015,105
MA,Nov 2015,86
MA,Dec 2015,82
MA,Jan 2016,87
MA,Feb 2016,125
MA,Mar 2016,145
MA,Apr 2016,166
MA,May 2016,187
MA,Jun 2016,190
MA,Jul 2016,207
MA,Aug 2016,202
MA,Sep 2016,182
MA,Oct 2016,147
MA,Nov 2016,117
MA,Dec 2016,108
MA,Jan 2017,104
MA,Feb 2017,137
MA,Mar 2017,193
MA,Apr 2017,214
MA,May 2017,226
MA,Jun 2017,251
MA,Jul 2017,263
MA,Aug 2017,261
MA,Sep 2017,221
MA,Oct 2017,186
MA,Nov 2017,131
MA,Dec 2017,118
MA,Jan 2018,157
MA,Feb 2018,182
MA,Mar 2018,259
MA,Apr 2018,291
MA,May 2018,334
MA,Jun 2018,334
